,ranking,name
0,1,サンダー
1,2,エースバーン
2,3,ミミッキュ
3,4,カプ・レヒレ
4,5,ランドロス
5,6,ポリゴン２
6,7,ウーラオス
7,8,ドラパルト
8,9,カバルドン
9,10,ゴリランダー
10,11,ウーラオス
11,12,カイリュー
12,13,ウツロイド
13,14,ナットレイ
14,15,テッカグヤ
15,16,ウオノラゴン
16,17,バンギラス
17,18,ドリュウズ
18,19,カミツルギ
19,20,ブリザポス
20,21,ドヒドイデ
21,22,ラグラージ
22,23,ラプラス
23,24,レジエレキ
24,25,ガブリアス
25,26,ヒードラン
26,27,フェローチェ
27,28,アーゴヨン
28,29,クレセリア
29,30,ボルトロス
30,31,ファイヤー
31,32,バシャーモ
32,33,パッチラゴン
33,34,ドサイドン
34,35,ボーマンダ
35,36,オーロンゲ
36,37,ロトム
37,38,ジバコイル
38,39,メタグロス
39,40,ギャラドス
40,41,ヤドキング
41,42,カプ・コケコ
42,43,キュウコン
43,44,ヒヒダルマ
44,45,マンムー
45,46,カプ・テテフ
46,47,ロトム
47,48,ウインディ
48,49,ピクシー
49,50,エルフーン
50,51,エアームド
51,52,トゲキッス
52,53,ラッキー
53,54,スイクン
54,55,マリルリ
55,56,カプ・ブルル
56,57,ラティオス
57,58,ハッサム
58,59,カビゴン
59,60,ライコウ
60,61,ハピナス
61,62,リザードン
62,63,アーマーガア
63,64,ラティアス
64,65,ヌオー
65,66,パルシェン
66,67,アシレーヌ
67,68,サニーゴ
68,69,ボルトロス
69,70,ギルガルド
70,71,ニンフィア
71,72,ブリムオン
72,73,ガオガエン
73,74,トリトドン
74,75,パッチルドン
75,76,ルカリオ
76,77,ミロカロス
77,78,ファイヤー
78,79,サンダー
79,80,ガマゲロゲ
80,81,マッシブーン
81,82,ゲンガー
82,83,ヌメルゴン
83,84,ナマコブシ
84,85,カメックス
85,86,マニューラ
86,87,ガラガラ
87,88,インテレオン
88,89,ランクルス
89,90,レイスポス
90,91,メタモン
91,92,エーフィ
92,93,ユクシー
93,94,シャンデラ
94,95,デンジュモク
95,96,サザンドラ
96,97,ウルガモス
97,98,エンテイ
98,99,ポットデス
99,100,ルガルガン
100,101,ツンデツンデ
101,102,ブラッキー
102,103,ズガドーン
103,104,レジロック
104,105,コータス
105,106,サーナイト
106,107,ボスゴドラ
107,108,レジアイス
108,109,クレッフィ
109,110,フシギバナ
110,111,ランターン
111,112,グレイシア
112,113,ゴチルゼル
113,114,ゾロアーク
114,115,オノノクス
115,116,マタドガス
116,117,ペンドラー
117,118,マホイップ
118,119,ユレイドル
119,120,ニドキング
120,121,タチフサグマ
121,122,コオリッポ
122,123,シャワーズ
123,124,トルネロス
124,125,エレキブル
125,126,フリーザー
126,127,キングドラ
127,128,サンダース
128,129,ホルード
129,130,バイバニラ
130,131,クレベース
131,132,ギガイアス
132,133,トルネロス
133,134,ブルンゲル
134,135,キリキザン
135,136,ポリゴンＺ
136,137,ドラピオン
137,138,ストリンダー
138,139,シザリガー
139,140,キュワワー
140,141,ニャオニクス
141,142,レジドラゴ
142,143,アイアント
143,144,バンバドロ
144,145,ロトム
145,146,ヤドラン
146,147,ジュラルドン
147,148,ヤドラン
148,149,ガチゴラス
149,150,アマルルガ
150,圏外,フシギダネ
151,圏外,フシギソウ
152,圏外,ヒトカゲ
153,圏外,リザード
154,圏外,ゼニガメ
155,圏外,カメール
156,圏外,キャタピー
157,圏外,トランセル
158,圏外,バタフリー
159,圏外,ピカチュウ
160,圏外,ライチュウ
161,圏外,ライチュウ
162,圏外,サンド
163,圏外,サンド
164,圏外,サンドパン
165,圏外,サンドパン
166,圏外,ニドラン♀
167,圏外,ニドリーナ
168,圏外,ニドクイン
169,圏外,ニドラン♂
170,圏外,ニドリーノ
171,圏外,ピッピ
172,圏外,ロコン
173,圏外,ロコン
174,圏外,キュウコン
175,圏外,プリン
176,圏外,プクリン
177,圏外,ズバット
178,圏外,ゴルバット
179,圏外,ナゾノクサ
180,圏外,クサイハナ
181,圏外,ラフレシア
182,圏外,ディグダ
183,圏外,ディグダ
184,圏外,ダグトリオ
185,圏外,ダグトリオ
186,圏外,ニャース
187,圏外,ニャース
188,圏外,ニャース
189,圏外,ペルシアン
190,圏外,ペルシアン
191,圏外,コダック
192,圏外,ゴルダック
193,圏外,ガーディ
194,圏外,ニョロモ
195,圏外,ニョロゾ
196,圏外,ニョロボン
197,圏外,ケーシィ
198,圏外,ユンゲラー
199,圏外,フーディン
200,圏外,ゴーリキー
201,圏外,カイリキー
202,圏外,メノクラゲ
203,圏外,ドククラゲ
204,圏外,ポニータ
205,圏外,ポニータ
206,圏外,ギャロップ
207,圏外,ギャロップ
208,圏外,ヤドン
209,圏外,ヤドン
210,圏外,コイル
211,圏外,レアコイル
212,圏外,カモネギ
213,圏外,カモネギ
214,圏外,シェルダー
215,圏外,ゴース
216,圏外,ゴースト
217,圏外,イワーク
218,圏外,クラブ
219,圏外,キングラー
220,圏外,タマタマ
221,圏外,ナッシー
222,圏外,ナッシー
223,圏外,カラカラ
224,圏外,ガラガラ
225,圏外,サワムラー
226,圏外,エビワラー
227,圏外,ベロリンガ
228,圏外,ドガース
229,圏外,マタドガス
230,圏外,サイホーン
231,圏外,サイドン
232,圏外,モンジャラ
233,圏外,ガルーラ
234,圏外,タッツー
235,圏外,シードラ
236,圏外,トサキント
237,圏外,アズマオウ
238,圏外,ヒトデマン
239,圏外,スターミー
240,圏外,バリヤード
241,圏外,バリヤード
242,圏外,ストライク
243,圏外,ルージュラ
244,圏外,エレブー
245,圏外,ブーバー
246,圏外,カイロス
247,圏外,ケンタロス
248,圏外,コイキング
249,圏外,イーブイ
250,圏外,ブースター
251,圏外,ポリゴン
252,圏外,オムナイト
253,圏外,オムスター
254,圏外,カブト
255,圏外,カブトプス
256,圏外,プテラ
257,圏外,フリーザー
258,圏外,ミニリュウ
259,圏外,ハクリュー
260,圏外,ヨルノズク
261,圏外,クロバット
262,圏外,チョンチー
263,圏外,ピチュー
264,圏外,ピィ
265,圏外,トゲピー
266,圏外,トゲチック
267,圏外,ネイティオ
268,圏外,キレイハナ
269,圏外,マリル
270,圏外,ウソッキー
271,圏外,ニョロトノ
272,圏外,ウパー
273,圏外,ヤドキング
274,圏外,ソーナンス
275,圏外,ノコッチ
276,圏外,ハガネール
277,圏外,ハリーセン
278,圏外,ツボツボ
279,圏外,ヘラクロス
280,圏外,ニューラ
281,圏外,イノムー
282,圏外,サニーゴ
283,圏外,テッポウオ
284,圏外,オクタン
285,圏外,デリバード
286,圏外,マンタイン
287,圏外,バルキー
288,圏外,カポエラー
289,圏外,ムチュール
290,圏外,ミルタンク
291,圏外,ヨーギラス
292,圏外,サナギラス
293,圏外,キモリ
294,圏外,ジュプトル
295,圏外,ジュカイン
296,圏外,アチャモ
297,圏外,ワカシャモ
298,圏外,ミズゴロウ
299,圏外,ヌマクロー
300,圏外,ジグザグマ
301,圏外,マッスグマ
302,圏外,マッスグマ
303,圏外,ハスボー
304,圏外,ハスブレロ
305,圏外,ルンパッパ
306,圏外,ダーテング
307,圏外,キャモメ
308,圏外,ペリッパー
309,圏外,ラルトス
310,圏外,キルリア
311,圏外,ツチニン
312,圏外,テッカニン
313,圏外,ヌケニン
314,圏外,ゴニョニョ
315,圏外,ドゴーム
316,圏外,バクオング
317,圏外,ルリリ
318,圏外,ヤミラミ
319,圏外,クチート
320,圏外,ココドラ
321,圏外,コドラ
322,圏外,ラクライ
323,圏外,ライボルト
324,圏外,ロゼリア
325,圏外,キバニア
326,圏外,サメハダー
327,圏外,ホエルコ
328,圏外,ホエルオー
329,圏外,ナックラー
330,圏外,ビブラーバ
331,圏外,フライゴン
332,圏外,チルット
333,圏外,チルタリス
334,圏外,ルナトーン
335,圏外,ソルロック
336,圏外,ドジョッチ
337,圏外,ナマズン
338,圏外,ヘイガニ
339,圏外,ヤジロン
340,圏外,ネンドール
341,圏外,リリーラ
342,圏外,アーマルド
343,圏外,ヒンバス
344,圏外,ヨマワル
345,圏外,サマヨール
346,圏外,アブソル
347,圏外,ソーナノ
348,圏外,オニゴーリ
349,圏外,タマザラシ
350,圏外,トドグラー
351,圏外,トドゼルガ
352,圏外,ジーランス
353,圏外,タツベイ
354,圏外,コモルー
355,圏外,ダンバル
356,圏外,メタング
357,圏外,レジスチル
358,圏外,コリンク
359,圏外,ルクシオ
360,圏外,レントラー
361,圏外,ロズレイド
362,圏外,ミツハニー
363,圏外,ビークイン
364,圏外,チェリンボ
365,圏外,チェリム
366,圏外,カラナクシ
367,圏外,フワンテ
368,圏外,フワライド
369,圏外,ミミロル
370,圏外,ミミロップ
371,圏外,スカンプー
372,圏外,スカタンク
373,圏外,ドーミラー
374,圏外,ドータクン
375,圏外,ウソハチ
376,圏外,マネネ
377,圏外,ミカルゲ
378,圏外,フカマル
379,圏外,ガバイト
380,圏外,ゴンベ
381,圏外,リオル
382,圏外,ヒポポタス
383,圏外,スコルピ
384,圏外,グレッグル
385,圏外,ドクロッグ
386,圏外,タマンタ
387,圏外,ユキカブリ
388,圏外,ユキノオー
389,圏外,ベロベルト
390,圏外,モジャンボ
391,圏外,ブーバーン
392,圏外,リーフィア
393,圏外,エルレイド
394,圏外,ヨノワール
395,圏外,ユキメノコ
396,圏外,ロトム
397,圏外,ロトム
398,圏外,ロトム
399,圏外,エムリット
400,圏外,アグノム
401,圏外,レジギガス
402,圏外,ヨーテリー
403,圏外,ハーデリア
404,圏外,ムーランド
405,圏外,チョロネコ
406,圏外,レパルダス
407,圏外,ムシャーナ
408,圏外,マメパト
409,圏外,ケンホロウ
410,圏外,ダンゴロ
411,圏外,ガントル
412,圏外,コロモリ
413,圏外,ココロモリ
414,圏外,モグリュー
415,圏外,タブンネ
416,圏外,ドテッコツ
417,圏外,ローブシン
418,圏外,ガマガル
419,圏外,ナゲキ
420,圏外,ダゲキ
421,圏外,フシデ
422,圏外,ホイーガ
423,圏外,モンメン
424,圏外,チュリネ
425,圏外,ドレディア
426,圏外,バスラオ
427,圏外,バスラオ
428,圏外,メグロコ
429,圏外,ワルビル
430,圏外,ワルビアル
431,圏外,ダルマッカ
432,圏外,ダルマッカ
433,圏外,ヒヒダルマ
434,圏外,マラカッチ
435,圏外,イシズマイ
436,圏外,イワパレス
437,圏外,ズルッグ
438,圏外,ズルズキン
439,圏外,シンボラー
440,圏外,デスマス
441,圏外,デスマス
442,圏外,デスカーン
443,圏外,プロトーガ
444,圏外,アバゴーラ
445,圏外,アーケン
446,圏外,アーケオス
447,圏外,ヤブクロン
448,圏外,ダストダス
449,圏外,ゾロア
450,圏外,チラチーノ
451,圏外,ゴチム
452,圏外,ゴチミル
453,圏外,ユニラン
